Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
94,Success,16,17,1,2,5.896,0.034,0.226,1.483,0.45,,3.703,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Success,18,18,0,2,10.783,0.011,0.211,0.02,0.433,0.037,1.274,3.12,5.677,,,,,,,,,,,,,,,,,,,,,,,,
96,Success,19,16,0,1,9.318,0.017,0.264,0.092,1.487,0.177,,0.336,,6.946,,,,,,,,,,,,,,,,,,,,,,,
97,Success,16,18,3,1,8.247,0.055,0.203,1.862,0.398,,0.915,,4.814,,,,,,,,,,,,,,,,,,,,,,,,
98,Success,18,17,1,0,6.845,0.008,0.257,0.116,0.521,0.214,2.344,3.385,,,,,,,,,,,,,,,,,,,,,,,,,
99,Success,17,18,4,3,27.267,0.005,0.26,0.047,0.499,4.154,1.067,,21.236,,,,,,,,,,,,,,,,,,,,,,,,
100,Success,21,18,0,0,51.396,0.019,0.233,0.108,0.577,0.33,1.156,0.639,4.86,1.275,,2.981,,39.217,,,,,,,,,,,,,,,,,,,
101,Success,18,18,0,0,10.037,0.013,0.201,0.088,0.422,0.238,1.104,3.145,4.825,,,,,,,,,,,,,,,,,,,,,,,,
102,Success,18,17,2,2,10.538,0.014,0.208,0.031,0.525,0.064,3.899,5.797,,,,,,,,,,,,,,,,,,,,,,,,,
103,Success,18,20,2,2,58.264,0.012,0.202,0.078,0.393,0.322,0.867,10.159,1.753,,4.991,,39.488,,,,,,,,,,,,,,,,,,,,
104,Success,17,16,1,2,3.964,0.03,0.214,0.069,2.017,1.634,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Success,17,16,2,0,3.457,0.016,0.198,0.028,1.26,1.954,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Success,17,19,2,2,32.752,0.029,0.201,0.025,0.427,2.967,1.031,,2.012,,26.06,,,,,,,,,,,,,,,,,,,,,,
107,Success,18,19,2,0,21.344,0.012,0.19,0.022,0.446,0.214,0.961,5.939,1.968,,11.592,,,,,,,,,,,,,,,,,,,,,,
108,Success,26,18,5,2,29359.472,0.031,0.229,0.053,0.464,0.172,1.178,0.331,12.414,0.702,,2.112,,6.061,,17.266,,26.3,,62.181,,126.731,,29103.246,,,,,,,,,
109,Success,16,20,1,3,76.63,0.046,0.213,0.886,0.434,,0.849,,1.904,,5.499,,66.8,,,,,,,,,,,,,,,,,,,,
110,Success,17,17,2,0,5.087,0.033,0.234,0.105,0.495,1.844,2.376,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Success,18,16,1,0,5.385,0.025,0.223,0.04,1.286,0.404,,3.407,,,,,,,,,,,,,,,,,,,,,,,,,
112,Success,20,16,0,1,17.71,0.023,0.204,0.084,1.32,0.161,,0.315,,0.626,,14.977,,,,,,,,,,,,,,,,,,,,,
113,Success,20,17,1,0,20.557,0.039,0.253,0.068,0.6,0.133,2.43,0.259,,0.509,,16.266,,,,,,,,,,,,,,,,,,,,,
114,Success,19,23,1,0,556.888,0.011,0.219,0.047,0.435,0.199,0.936,0.534,2.303,11.551,5.571,,14.564,,35.58,,99.01,,385.927,,,,,,,,,,,,,,
115,Success,17,18,1,1,11.408,0.036,0.207,0.028,0.409,2.739,0.942,,7.047,,,,,,,,,,,,,,,,,,,,,,,,
116,Success,16,20,1,3,73.01,0.028,0.221,0.889,0.442,,0.886,,1.83,,5.19,,63.524,,,,,,,,,,,,,,,,,,,,
117,Success,18,20,1,2,74.066,0.023,0.196,0.058,0.412,0.114,0.991,3.337,2.112,,5.842,,60.982,,,,,,,,,,,,,,,,,,,,
118,Success,17,19,5,0,31.551,0.005,0.198,0.088,0.405,13.989,1.1,,1.648,,14.118,,,,,,,,,,,,,,,,,,,,,,
119,Success,20,18,1,1,24.613,0.044,0.221,0.081,0.423,0.157,0.929,0.313,5.254,0.623,,16.569,,,,,,,,,,,,,,,,,,,,,
120,Success,20,18,1,0,22.435,0.014,0.207,0.028,0.427,0.051,0.872,0.097,4.755,0.223,,15.763,,,,,,,,,,,,,,,,,,,,,
121,Success,16,16,0,1,2.541,0.047,0.266,0.847,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Success,18,18,0,1,12.054,0.015,0.231,0.023,0.456,0.044,0.975,3.13,7.178,,,,,,,,,,,,,,,,,,,,,,,,
123,Success,18,20,1,1,39.781,0.021,0.202,0.122,0.429,0.231,1.157,3.282,2.314,,6.117,,25.907,,,,,,,,,,,,,,,,,,,,
124,Success,18,17,0,0,6.457,0.006,0.236,0.067,0.44,0.237,2.377,3.095,,,,,,,,,,,,,,,,,,,,,,,,,
125,Success,21,18,2,0,83.258,0.048,0.198,0.092,0.406,0.176,0.968,0.354,4.768,0.699,,1.633,,73.916,,,,,,,,,,,,,,,,,,,
126,Success,17,18,1,2,10.084,0.087,0.249,0.154,0.447,2.762,0.991,,5.394,,,,,,,,,,,,,,,,,,,,,,,,
127,Success,17,18,0,0,8.159,0.017,0.21,0.065,0.461,1.598,1.014,,4.793,,,,,,,,,,,,,,,,,,,,,,,,
