Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
159,Success,24,22,2,0,874.061,0.012,0.196,0.034,0.393,0.095,0.793,0.209,1.616,0.446,6.233,0.981,17.612,2.751,36.148,6.164,193.828,17.662,,588.89,,,,,,,,,,,,,
160,Success,19,20,2,1,65.962,0.008,0.19,0.081,0.363,0.151,0.803,0.303,1.595,12.318,7.185,,42.965,,,,,,,,,,,,,,,,,,,,
161,Success,17,22,2,1,349.885,0.005,0.22,0.009,0.469,3.081,0.948,,1.866,,8.385,,18.645,,39.236,,277.021,,,,,,,,,,,,,,,,
162,Success,21,19,1,0,59.639,0.007,0.191,0.04,0.452,0.216,0.909,0.476,2.488,1.03,13.704,2.779,,37.346,,,,,,,,,,,,,,,,,,,
163,Success,18,18,2,2,13.472,0.006,0.188,0.027,0.441,0.316,1.006,6.089,5.398,,,,,,,,,,,,,,,,,,,,,,,,
164,Success,18,18,0,3,26.183,0.01,0.191,0.017,0.376,0.044,0.918,3.126,21.502,,,,,,,,,,,,,,,,,,,,,,,,
165,Success,20,18,2,1,28.147,0.01,0.197,0.031,0.41,0.07,0.883,0.135,7.205,1.17,,18.035,,,,,,,,,,,,,,,,,,,,,
166,Success,18,19,1,2,30.059,0.002,0.197,0.044,0.396,0.351,0.834,5.434,2.875,,19.928,,,,,,,,,,,,,,,,,,,,,,
167,Success,20,19,3,1,116.901,0.031,0.193,0.061,0.42,0.113,0.818,0.231,1.956,0.465,18.936,93.678,,,,,,,,,,,,,,,,,,,,,
168,Success,21,19,4,0,207.475,0.009,0.2,0.063,0.385,0.116,0.88,0.235,1.79,1.468,14.875,4.26,,183.194,,,,,,,,,,,,,,,,,,,
169,Success,18,18,3,1,19.624,0.005,0.191,0.027,0.369,0.24,0.89,10.946,6.955,,,,,,,,,,,,,,,,,,,,,,,,
170,Success,18,20,1,1,59.368,0.029,0.194,0.087,0.446,0.168,1.077,3.308,2.134,,9.18,,42.746,,,,,,,,,,,,,,,,,,,,
171,Success,18,19,2,0,24.094,0.016,0.216,0.011,0.446,0.371,0.903,5.71,2.039,,14.382,,,,,,,,,,,,,,,,,,,,,,
172,Success,20,21,0,0,119.148,0.006,0.19,0.041,0.383,0.099,0.764,0.215,1.891,0.436,8.919,14.56,19.416,,72.229,,,,,,,,,,,,,,,,,,
173,Success,20,20,0,1,71.714,0.006,0.199,0.027,0.464,0.062,0.876,0.42,1.884,0.845,8.673,14.947,43.311,,,,,,,,,,,,,,,,,,,,
174,Success,19,20,2,0,56.955,0.006,0.189,0.011,0.43,0.045,0.94,0.1,2.795,12.014,9.199,,31.225,,,,,,,,,,,,,,,,,,,,
175,Success,18,20,0,0,45.447,0.004,0.195,0.013,0.38,0.148,0.797,3.105,1.593,,7.84,,31.372,,,,,,,,,,,,,,,,,,,,
176,Success,19,18,1,2,20.613,0.006,0.191,0.073,0.425,0.135,1.116,0.272,11.67,6.725,,,,,,,,,,,,,,,,,,,,,,,
177,Success,18,18,1,0,9.799,0.012,0.204,0.021,0.409,0.13,1.02,3.253,4.749,,,,,,,,,,,,,,,,,,,,,,,,
178,Success,23,19,1,1,293.657,0.014,0.194,0.054,0.518,0.225,0.9,0.59,2.085,1.196,17.425,2.987,,6.898,,15.002,,245.57,,,,,,,,,,,,,,,
