Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
0,Success,15,18,1,1,4.237,0.346,0.114,,0.273,,0.524,,2.98,,,,,,,,,,,,,,,,,,,,,,,,
1,Success,16,15,2,1,1.286,0.006,0.46,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Success,16,15,0,1,0.841,0.01,0.474,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Success,15,18,3,1,4.55,0.593,0.124,,0.286,,0.551,,2.996,,,,,,,,,,,,,,,,,,,,,,,,
4,Success,15,16,0,1,1.163,0.199,0.091,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Success,15,16,1,1,1.075,0.347,0.099,,0.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Success,15,15,1,1,0.683,0.218,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Success,15,16,2,1,1.157,0.417,0.103,,0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Success,15,15,1,1,0.705,0.236,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Success,15,16,1,1,1.343,0.348,0.119,,0.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Success,17,15,1,1,1.247,0.03,0.466,0.037,,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Success,19,16,0,2,3.888,0.023,0.095,0.046,0.971,0.085,,0.174,,2.493,,,,,,,,,,,,,,,,,,,,,,,
12,Success,16,16,1,1,1.633,0.029,0.127,0.617,0.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Success,17,17,1,4,5.551,0.022,0.117,0.04,0.304,1.111,3.957,,,,,,,,,,,,,,,,,,,,,,,,,,
