Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
0,Success,17,18,1,1,5.051,0.021,0.107,0.08,0.241,1.095,0.537,,2.968,,,,,,,,,,,,,,,,,,,,,,,,
1,Success,17,17,2,1,3.366,0.006,0.082,0.011,0.256,1.469,1.542,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Success,18,16,0,1,2.252,0.008,0.093,0.019,0.868,0.04,,1.223,,,,,,,,,,,,,,,,,,,,,,,,,
3,Success,19,20,3,1,25.737,0.02,0.094,0.032,0.251,0.06,0.507,0.113,1.206,7.791,2.331,,13.332,,,,,,,,,,,,,,,,,,,,
4,Success,16,17,0,1,2.21,0.008,0.084,0.351,0.221,,1.545,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Success,18,17,1,1,3.74,0.01,0.094,0.028,0.241,0.052,1.195,2.119,,,,,,,,,,,,,,,,,,,,,,,,,
6,Success,16,16,1,1,1.337,0.008,0.091,0.388,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Success,16,18,2,1,3.828,0.012,0.088,0.748,0.236,,0.477,,2.266,,,,,,,,,,,,,,,,,,,,,,,,
8,Success,17,17,1,1,2.786,0.016,0.085,0.032,0.304,0.772,1.579,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Success,20,20,1,1,26.816,0.007,0.087,0.039,0.212,0.111,0.449,0.212,1.101,0.422,2.245,8.593,13.339,,,,,,,,,,,,,,,,,,,,
10,Success,18,17,1,1,3.409,0.012,0.089,0.055,0.238,0.09,1.569,1.356,,,,,,,,,,,,,,,,,,,,,,,,,
11,Success,19,18,0,2,6.965,0.01,0.092,0.042,0.229,0.079,0.475,0.15,3.429,2.46,,,,,,,,,,,,,,,,,,,,,,,
12,Success,17,17,1,1,3.068,0.014,0.092,0.025,0.233,1.122,1.583,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Success,18,19,1,4,20.036,0.01,0.081,0.036,0.207,0.068,0.603,2.106,1.565,,15.359,,,,,,,,,,,,,,,,,,,,,,
14,Success,19,19,1,1,9.897,0.005,0.084,0.021,0.208,0.045,0.538,0.086,1.081,2.713,5.115,,,,,,,,,,,,,,,,,,,,,,
15,Success,17,18,0,1,3.844,0.023,0.113,0.043,0.226,0.645,0.58,,2.213,,,,,,,,,,,,,,,,,,,,,,,,
16,Success,17,16,1,0,1.894,0.011,0.085,0.094,0.587,1.117,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Success,18,17,0,1,3.253,0.018,0.091,0.037,0.233,0.067,1.569,1.239,,,,,,,,,,,,,,,,,,,,,,,,,
18,Success,17,17,1,1,3.036,0.007,0.086,0.043,0.227,1.11,1.561,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Success,18,24,0,0,383.963,0.035,0.085,0.084,0.231,0.154,0.486,1.221,0.925,,2.076,,4.953,,11.549,,24.777,,62.312,,275.075,,,,,,,,,,,,
20,Success,16,18,1,0,3.573,0.026,0.088,0.611,0.219,,0.507,,2.123,,,,,,,,,,,,,,,,,,,,,,,,
21,Success,17,16,4,1,5.66,0.009,0.086,0.017,0.613,4.936,,,,,,,,,,,,,,,,,,,,,,,,,,,
